id_setor_censitario,sigla_uf,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063
355030867000195,SP1,17,13,14,17,8,21,15,18,14,10,12,11
355030868000177,SP1,14,23,29,22,29,31,32,26,30,37,27,20
355030868000191,SP1,6,7,7,6,8,9,9,18,11,12,6,5
355030868000249,SP1,6,17,13,4,14,16,32,25,9,34,13,17
355030868000253,SP1,19,12,26,16,18,21,21,35,21,16,12,34
355030868000255,SP1,6,6,11,9,9,9,4,28,10,16,25,14
355030868000257,SP1,8,12,12,15,16,11,15,26,14,14,12,17
355030868000258,SP1,9,9,18,23,17,21,21,18,9,15,20,20
355030868000263,SP1,4,11,17,14,10,8,17,18,6,9,11,18
355030868000264,SP1,12,10,16,7,17,12,7,18,18,19,3,10
355030868000265,SP1,13,13,18,14,16,15,16,18,18,17,11,17
355030868000274,SP1,17,14,17,17,22,18,34,23,31,32,32,29
355030868000285,SP1,12,15,20,19,24,18,17,29,15,29,14,19
355030869000034,SP1,6,7,8,10,9,12,9,17,13,12,13,11
355030869000045,SP1,2,5,9,6,14,8,6,17,8,10,7,7
355030872000111,SP1,13,8,9,5,13,9,4,17,8,5,10,5
355030872000120,SP1,21,22,17,25,17,20,14,19,26,15,24,16
355030873000022,SP1,21,17,26,15,17,12,14,18,14,13,14,20
355030873000122,SP1,9,7,11,15,11,9,15,17,10,9,9,15
355030875000018,SP1,8,7,10,2,10,12,12,19,13,14,13,11
355030875000123,SP1,14,13,14,18,21,21,23,19,17,17,19,18
355030875000162,SP1,20,15,14,26,12,12,11,19,13,19,13,15
355030876000053,SP1,5,15,6,18,7,11,11,17,8,15,15,12
355030876000091,SP1,20,23,15,22,27,22,28,20,13,18,17,15
355030876000126,SP1,15,14,18,11,18,15,8,18,10,23,15,17
355030876000135,SP1,4,7,9,13,5,8,9,20,13,9,15,6
355030876000187,SP1,5,13,6,8,8,8,8,21,8,10,11,11
355030876000199,SP1,21,18,11,11,17,20,25,18,13,14,14,13
355030876000302,SP1,18,11,14,21,18,16,15,23,11,22,11,13
355030876000320,SP1,18,13,11,18,15,13,15,17,16,13,14,12
355030881000030,SP1,5,8,10,12,11,13,17,21,8,8,4,12
355030881000087,SP1,30,20,14,22,15,12,12,17,15,16,14,16
355030881000147,SP1,13,9,16,14,13,14,13,17,17,17,11,12
355030881000157,SP1,9,16,11,12,14,17,10,21,10,16,14,13
355030881000167,SP1,30,49,70,15,37,54,26,69,39,38,31,31
355030881000177,SP1,8,10,8,12,16,5,15,17,11,6,6,6
355030881000180,SP1,23,14,20,23,26,21,15,20,18,20,17,28
355030881000197,SP1,13,9,19,13,20,11,19,20,18,14,13,13
355030881000203,SP1,8,13,14,25,23,12,13,18,11,7,18,17
355030881000220,SP1,24,12,18,24,12,19,15,21,16,16,16,15
355030881000222,SP1,8,15,12,23,17,12,24,17,15,19,13,7
355030881000226,SP1,16,11,10,8,10,8,11,19,10,15,18,12
355030881000285,SP1,26,18,17,13,15,17,27,18,22,22,13,20
355030881000294,SP1,25,12,20,13,11,3,19,17,15,2,14,16
355030883000008,SP1,20,13,27,28,26,23,29,25,23,21,21,12
355030883000011,SP1,17,13,26,24,22,24,19,24,25,26,22,31
355030883000014,SP1,23,26,27,24,28,23,27,24,24,22,27,22
355030883000032,SP1,17,21,19,26,31,30,28,27,24,23,30,28
355030883000033,SP1,16,16,19,23,24,27,22,18,17,27,28,29
355030883000034,SP1,15,15,20,27,17,23,21,27,17,25,19,17
355030883000035,SP1,27,17,13,26,29,20,30,25,18,26,28,30
355030883000036,SP1,19,17,21,26,19,28,26,25,25,29,25,26
355030883000037,SP1,19,23,36,42,27,36,33,45,29,21,41,31
355030883000038,SP1,24,28,28,32,38,43,43,47,48,45,42,37
355030883000039,SP1,26,22,20,22,28,24,28,27,18,20,33,23
355030883000042,SP1,16,28,33,30,24,27,30,21,23,22,26,17
355030883000044,SP1,13,20,16,20,11,11,13,19,15,15,19,11
355030883000046,SP1,7,5,22,59,20,45,17,28,24,11,17,16
355030883000048,SP1,12,9,18,15,12,20,14,22,12,16,20,13
355030883000070,SP1,19,18,28,25,22,16,25,32,30,28,24,33
355030883000140,SP1,14,8,8,14,18,20,19,25,15,16,22,10
355030883000141,SP1,23,22,24,17,24,19,14,25,19,24,18,23
355030883000142,SP1,20,30,32,33,31,40,42,32,47,30,21,24
355030883000143,SP1,14,18,18,20,26,22,27,29,15,13,29,12
355030883000147,SP1,21,26,35,25,20,23,38,29,36,24,18,24
355030883000208,SP1,20,33,26,34,36,32,28,35,22,34,35,26
355030884000004,SP1,10,9,6,9,11,8,15,17,6,6,14,9
355030884000175,SP1,13,18,11,22,15,14,16,20,17,11,16,11
355030884000201,SP1,5,12,17,13,7,11,8,17,10,14,11,18
355030885000095,SP1,11,8,16,12,12,12,18,17,23,17,18,17
355030886000041,SP1,4,4,3,5,4,1,8,20,12,13,2,8
355030887000065,SP1,5,14,6,8,16,10,12,19,6,9,7,7
355030887000164,SP1,14,13,8,14,18,12,11,17,10,10,15,16
355030888000070,SP1,4,32,47,61,61,78,88,87,84,66,75,72
355030889000024,SP1,14,12,13,16,16,7,15,17,15,15,18,17
355030889000116,SP1,19,10,17,8,18,8,16,17,5,13,13,13
355030889000158,SP1,13,16,9,19,16,12,19,18,23,18,14,18
355030893000055,SP1,4,8,10,9,9,11,16,20,8,4,10,10
355030893000158,SP1,12,33,40,47,64,42,38,33,33,25,36,26
