id_setor_censitario,dom_alugados
355030807000111,123
355030807000113,102
355030807000114,127
355030807000118,105
355030807000119,108
355030807000120,139
355030807000121,113
355030807000123,189
355030807000124,158
355030807000125,87
355030807000127,91
355030807000128,178
355030807000129,169
355030807000131,185
355030807000135,117
355030807000139,131
355030808000005,190
355030808000006,91
355030808000008,93
355030808000017,167
355030808000021,87
355030808000023,203
355030808000024,117
355030808000026,91
355030808000027,105
355030808000028,106
355030808000029,139
355030808000033,84
355030808000035,115
355030808000037,88
355030808000039,97
355030808000040,111
355030808000044,124
355030808000049,98
355030808000050,87
355030808000052,89
355030808000053,91
355030808000058,82
355030809000001,91
355030809000002,86
355030809000003,99
355030809000004,102
355030809000006,82
355030809000009,132
355030809000011,118
355030809000012,84
355030809000013,115
355030809000014,162
355030809000015,92
355030809000017,83
355030809000018,94
355030809000019,105
355030809000020,104
355030809000021,285
355030809000022,159
355030809000023,164
355030809000024,133
355030809000025,137
355030809000026,207
355030809000027,154
355030809000029,110
355030809000033,107
355030809000034,145
355030809000035,154
355030809000036,115
355030809000038,120
355030809000039,102
355030809000040,114
355030809000041,99
355030809000043,184
355030810000001,97
355030810000002,100
355030810000004,88
355030810000005,203
355030810000006,144
355030810000008,134
355030810000009,311
355030810000010,133
355030810000013,86
355030810000014,201
355030810000015,195
355030810000018,150
355030810000019,134
355030810000020,205
355030810000022,149
355030810000024,100
355030810000025,325
355030810000031,114
355030810000032,102
355030810000033,92
355030810000034,86
355030810000039,149
355030810000040,100
355030810000042,176
355030810000043,133
355030810000049,90
355030811000001,107
355030811000009,84
355030811000031,94
355030811000036,96
355030811000061,93
355030811000062,104
355030811000070,107
355030811000074,92
355030811000075,88
355030811000077,84
355030811000081,105
355030811000087,94
355030811000091,83
355030811000097,83
355030811000099,87
355030811000105,81
355030811000107,100
355030811000111,130
355030811000113,94
355030811000119,121
355030811000122,93
355030811000126,98
355030811000129,81
355030811000130,110
355030811000131,83
355030811000134,124
355030811000137,120
355030811000138,91
355030811000140,173
355030811000146,161
355030811000154,112
355030811000164,104
355030811000165,83
355030811000172,92
355030811000176,140
355030811000177,114
355030811000178,135
355030811000189,108
355030811000195,85
355030811000197,103
355030811000201,111
355030811000202,93
355030811000217,118
355030811000237,88
355030811000291,97
355030811000295,88
355030811000312,85
355030811000315,125
355030811000319,101
355030811000321,94
355030811000322,118
355030811000331,186
355030811000354,104
355030811000384,84
355030812000007,102
355030812000065,96
355030812000066,113
355030812000081,82
355030813000003,108
355030813000004,96
355030813000006,122
355030813000007,105
355030813000008,87
355030813000013,101
355030813000017,94
355030813000024,100
355030813000033,97
355030813000035,113
355030813000036,121
355030813000039,123
355030813000040,120
355030813000049,114
355030813000059,128
355030813000062,131
355030813000064,127
355030813000071,91
355030813000072,101
355030813000074,137
355030813000077,105
355030813000079,89
355030813000089,129
355030813000102,169
355030813000104,100
355030813000110,109
355030813000115,85
355030813000118,100
355030813000135,147
355030813000155,96
355030813000168,100
355030813000179,103
355030813000186,125
355030814000002,140
355030814000003,154
355030814000004,84
355030814000005,95
355030814000007,86
355030814000008,86
355030814000011,92
355030814000016,94
355030814000017,109
355030814000018,107
355030814000024,82
355030814000025,135
355030814000026,191
355030814000027,138
355030814000028,98
355030814000031,100
355030814000032,87
355030814000041,96
355030814000044,107
355030814000047,124
355030814000052,111
355030815000011,93
355030815000015,81
355030815000076,87
355030816000001,106
355030816000002,85
355030816000018,85
355030816000028,114
355030816000033,135
355030816000049,82
355030816000050,82
355030816000051,114
355030816000055,82
355030816000086,84
355030816000106,111
355030816000118,107
355030817000034,84
355030817000039,88
355030817000055,107
355030817000059,92
355030817000063,107
355030817000064,122
355030817000065,133
355030817000066,94
355030817000083,92
355030817000094,90
355030817000102,104
355030817000104,110
355030817000107,119
355030817000124,99
355030817000129,106
355030817000130,142
355030817000131,107
355030817000143,115
355030817000145,97
355030817000146,113
355030817000148,102
355030817000150,168
355030817000153,99
355030817000156,160
355030817000164,103
355030817000168,87
355030817000170,95
355030817000173,108
355030817000174,99
355030817000179,118
355030817000182,95
355030817000188,83
355030817000192,103
355030817000195,99
355030817000197,83
355030817000198,119
355030817000211,98
355030817000216,107
355030817000217,118
355030817000218,96
355030817000221,106
355030817000225,83
355030817000255,97
355030817000258,100
355030817000270,88
355030817000284,98
355030817000304,145
355030818000002,95
355030818000024,114
355030818000037,109
355030818000046,92
355030818000049,127
355030818000066,100
355030818000069,99
355030818000070,95
355030818000072,152
355030818000081,103
355030818000092,98
355030818000148,83
355030818000181,101
355030818000193,101
355030819000010,86
355030819000013,97
355030819000019,90
355030819000023,86
355030819000030,86
355030819000036,84
355030819000037,112
355030819000051,152
355030819000058,112
355030819000065,108
355030819000080,116
355030819000094,81
355030819000101,117
355030819000115,123
355030819000116,111
355030819000120,93
355030819000122,105
355030819000124,89
355030819000131,90
355030819000132,126
355030819000136,86
355030819000141,101
355030819000144,105
355030819000146,139
355030819000148,155
355030819000150,91
355030819000152,86
355030819000154,157
355030819000159,92
355030819000162,97
355030819000174,94
355030819000175,105
355030819000188,85
355030819000203,199
355030819000208,119
355030819000213,100
355030819000226,94
355030819000227,97
355030819000230,102
355030819000233,92
355030819000247,92
355030819000251,128
355030819000255,100
355030819000263,87
355030819000272,137
355030819000279,132
355030819000280,90
355030819000284,120
355030819000293,94
355030819000294,114
355030819000295,133
355030819000302,94
355030819000304,99
355030819000306,118
355030819000308,95
355030819000315,83
355030819000345,82
355030819000353,86
355030819000359,87
355030819000360,99
355030820000003,81
355030820000004,96
355030820000008,84
355030820000039,82
355030820000041,92
355030820000042,82
355030820000049,160
355030820000054,102
355030820000055,86
355030820000061,133
355030820000062,82
355030820000079,103
355030820000088,91
355030820000100,95
355030820000103,143
355030820000106,107
355030820000114,85
355030821000001,89
355030821000002,91
355030821000003,105
355030821000004,106
355030821000006,97
355030821000007,86
355030821000008,104
355030821000010,94
355030821000011,92
355030821000012,85
355030821000013,99
355030821000016,92
355030821000017,87
355030821000020,107
355030821000028,114
355030821000029,89
355030821000030,99
355030821000035,98
355030821000037,119
355030821000039,109
355030821000040,84
355030821000045,82
355030821000050,84
355030821000053,105
355030821000057,93
355030821000059,88
355030821000060,88
355030821000061,118
355030821000062,127
355030821000063,96
355030821000065,93
355030821000067,131
355030821000071,132
355030821000073,135
355030821000076,103
355030821000078,146
355030821000081,89
355030821000095,90
355030821000096,103
355030821000097,86
355030821000098,115
355030821000099,108
355030821000101,81
355030821000102,94
355030821000129,112
355030822000004,104
355030822000007,146
355030822000009,91
355030822000010,174
355030822000017,110
355030822000020,99
355030822000021,91
355030822000024,144
355030822000026,217
355030822000027,102
355030822000028,140
355030822000030,108
355030822000039,89
355030822000040,92
355030822000042,103
355030822000043,119
355030822000045,111
355030822000052,118
355030822000055,122
355030822000056,117
355030822000057,176
355030822000061,131
355030822000080,111
355030822000083,103
355030822000084,123
355030822000087,208
355030822000088,111
355030822000092,98
355030822000099,95
355030822000105,123
355030822000106,98
355030822000108,154
355030822000109,92
355030822000115,96
355030822000117,101
355030822000122,85
355030822000123,89
355030822000124,103
355030822000125,103
355030822000136,104
355030822000142,94
355030822000148,84
355030822000149,102
355030822000150,125
355030822000152,82
355030822000154,136
355030822000155,127
355030822000156,97
355030822000157,119
355030822000159,89
355030822000166,86
355030822000167,116
355030822000169,103
355030822000175,146
355030822000180,120
355030822000190,96
355030822000193,81
355030822000195,105
355030822000196,84
355030822000197,108
355030822000198,127
355030822000219,99
355030822000220,110
355030822000223,81
355030822000224,178
355030822000229,95
355030822000230,111
355030822000237,117
355030822000245,97
355030822000250,112
355030822000251,112
355030822000252,116
355030822000264,104
355030822000265,89
355030822000272,90
355030822000274,152
355030822000281,88
355030822000286,117
355030822000287,97
355030822000290,91
355030822000292,107
355030822000294,124
355030822000303,83
355030822000307,105
355030822000331,103
355030822000335,94
355030822000359,115
355030823000002,85
355030823000007,92
355030823000018,107
355030823000020,96
355030823000024,85
355030823000030,92
355030823000039,133
355030823000041,103
355030823000044,81
355030823000046,134
355030823000048,96
355030823000081,106
355030823000086,106
355030823000090,102
355030823000094,108
355030823000108,95
355030823000109,105
355030823000112,113
355030823000113,83
355030823000114,106
355030823000115,104
355030823000128,101
355030823000131,98
355030823000135,94
355030823000147,105
355030823000152,93
355030823000153,98
355030823000154,90
355030823000156,83
355030823000161,105
355030823000186,158
355030823000188,106
355030823000198,87
355030823000199,139
355030823000203,85
355030823000205,92
355030823000215,125
355030823000219,105
355030824000008,94
355030824000015,105
355030824000017,85
355030824000030,96
355030824000039,86
355030824000054,142
355030824000055,91
355030824000061,117
355030824000103,109
355030824000114,84
355030824000123,88
355030824000128,83
355030824000136,93
355030824000141,85
355030825000180,95
355030826000015,139
355030826000027,128
355030826000032,113
355030826000033,91
355030826000035,104
355030826000036,147
355030826000039,102
355030826000057,93
355030826000058,109
355030826000060,96
355030826000061,140
355030826000062,82
355030826000063,120
355030826000065,93
355030826000067,142
355030826000068,130
355030826000069,124
355030826000072,94
355030826000074,94
355030826000075,109
355030826000076,105
355030826000078,116
355030826000080,121
355030826000081,136
355030826000082,173
355030826000085,118
355030826000086,139
355030826000087,115
355030826000088,105
355030826000089,95
355030826000091,113
355030826000095,85
355030826000097,119
355030826000102,82
355030826000104,125
355030826000107,103
355030826000109,103
355030826000123,131
355030826000126,115
355030826000127,88
355030826000131,81
355030827000013,84
355030827000024,84
355030827000030,86
355030827000040,87
355030827000056,84
355030827000064,81
355030827000075,119
355030827000078,135
355030827000084,83
355030827000088,87
355030827000098,84
355030827000100,102
355030827000101,105
355030827000103,87
355030827000104,168
355030827000106,123
355030827000107,152
355030827000118,161
355030827000119,153
355030827000123,130
355030827000132,128
355030827000133,108
355030827000136,118
355030827000151,165
355030827000157,81
355030827000179,99
355030828000001,84
355030828000004,103
355030828000044,83
355030828000047,86
355030828000066,97
355030828000068,81
355030828000070,104
355030828000073,82
355030828000074,86
355030828000096,96
355030828000100,90
355030828000105,87
355030828000114,82
355030828000115,91
355030828000117,112
355030828000118,104
355030828000121,96
355030828000126,83
355030828000129,82
355030828000136,84
355030828000137,97
355030828000138,81
355030828000143,89
355030829000001,82
355030829000006,87
355030829000007,105
355030829000010,83
355030829000028,95
355030829000029,90
355030829000036,93
355030829000042,108
355030829000046,97
355030829000051,81
355030829000052,94
355030829000066,91
355030829000069,86
355030829000070,90
355030829000071,84
355030829000073,121
355030829000074,83
355030829000076,94
355030829000077,112
355030829000079,97
355030829000080,81
355030829000082,107
355030829000105,104
355030829000108,110
355030829000110,81
355030829000112,121
355030829000119,94
355030829000120,86
355030829000122,89
355030829000127,108
355030829000144,100
355030829000146,124
355030829000163,126
355030829000171,98
355030829000172,95
355030829000185,85
355030829000195,87
355030829000203,85
355030829000207,85
355030830000030,105
355030830000042,113
355030830000058,123
355030830000074,149
355030830000078,88
355030830000084,105
355030830000088,88
355030830000098,104
355030830000099,95
355030830000109,81
355030830000115,109
355030830000116,124
355030830000141,108
355030830000144,149
355030830000171,92
355030830000172,112
355030830000174,115
355030830000179,132
355030830000186,81
355030830000191,83
355030830000193,113
355030830000194,83
355030830000195,140
355030830000222,91
355030830000228,92
355030830000231,119
355030830000238,122
355030830000240,101
355030830000242,90
355030830000244,108
355030830000246,102
355030830000247,205
355030830000262,98
355030830000263,84
355030830000264,107
355030830000268,114
355030830000279,102
355030830000285,90
355030830000287,99
355030830000293,112
355030830000296,83
355030830000297,147
355030830000298,86
355030830000300,87
355030830000303,81
355030830000305,86
355030830000311,132
355030830000314,169
355030830000319,111
355030830000334,116
355030830000340,93
355030830000364,83
355030830000393,84
355030830000402,98
355030830000403,83
355030830000451,169
355030830000619,83
355030831000023,117
355030831000036,88
355030831000067,82
355030831000084,82
355030831000126,85
355030832000016,96
355030832000018,96
355030832000042,117
355030832000045,133
355030832000047,124
355030832000048,86
355030832000049,82
355030832000053,82
355030832000059,87
355030832000070,85
355030832000074,108
355030832000077,110
355030832000080,85
355030832000082,96
355030832000085,99
355030832000096,95
355030832000098,131
355030832000101,110
355030832000113,105
355030832000118,85
355030832000121,100
355030832000127,94
355030832000146,119
355030832000152,100
355030833000004,85
355030833000008,99
355030833000022,87
355030833000024,92
355030833000032,89
355030833000034,86
355030833000040,81
355030834000001,91
355030834000010,154
355030834000011,83
355030834000014,85
355030834000015,114
355030834000016,94
355030834000021,98
355030834000022,106
355030834000030,100
355030834000032,82
355030834000036,104
355030834000038,107
355030834000040,110
355030834000042,126
355030834000047,85
355030834000048,85
355030834000049,97
355030834000050,91
355030834000052,95
355030834000061,101
355030834000062,106
355030834000065,125
355030834000067,89
355030834000073,197
355030834000077,125
355030834000078,105
355030834000082,86
355030834000087,94
355030834000089,107
355030834000090,140
355030834000095,124
355030834000099,106
355030834000104,86
355030834000107,99
355030834000110,160
355030834000112,107
355030834000114,180
355030834000124,122
355030834000125,109
355030834000126,123
355030834000128,94
355030834000129,82
355030834000130,106
355030834000131,89
355030834000132,159
355030834000147,113
355030834000150,83
355030834000157,103
355030834000159,111
355030835000001,105
355030835000011,105
355030835000013,92
355030835000021,85
355030835000022,131
355030835000031,86
355030835000052,86
355030835000057,103
355030835000061,104
355030835000075,91
355030835000081,100
355030835000085,114
355030835000109,105
355030835000113,98
355030835000114,91
355030835000139,99
355030835000162,90
355030835000172,92
355030835000173,105
355030835000193,90
355030835000201,84
355030835000202,99
355030836000046,89
355030836000236,91
355030837000020,81
355030837000054,85
355030837000061,83
355030837000101,82
355030837000109,92
355030837000115,115
355030837000116,130
355030837000154,104
355030837000166,84
355030837000211,87
355030837000215,93
355030837000217,139
355030837000223,84
355030837000238,87
355030838000014,91
355030838000022,100
355030838000025,114
355030838000027,81
355030838000032,93
355030838000034,82
355030838000046,85
355030838000047,83
355030838000049,109
355030838000056,125
355030838000063,93
355030838000072,92
355030838000076,102
355030838000081,173
355030838000083,89
355030838000084,88
355030838000085,98
355030838000101,82
355030838000103,104
355030838000106,82
355030838000109,137
355030838000110,106
355030838000113,87
355030838000122,90
355030838000130,126
355030838000131,95
355030838000133,81
355030838000134,85
355030838000143,92
355030838000155,131
355030838000157,105
355030838000165,118
355030838000167,120
355030838000170,188
355030838000184,97
355030838000188,101
355030838000190,87
355030838000192,119
355030838000193,108
355030838000197,100
355030838000206,118
355030838000209,124
355030838000210,87
355030838000211,113
355030838000212,117
355030838000214,88
355030838000218,139
355030838000234,92
355030838000237,104
355030838000238,83
355030838000243,109
355030838000244,90
355030838000245,155
355030838000247,82
355030838000249,100
355030838000250,106
355030838000253,95
355030838000257,97
355030838000264,85
355030838000289,81
355030838000294,103
355030838000295,98
355030838000301,108
355030838000303,83
355030838000306,86
355030838000307,103
355030838000337,83
355030838000350,84
355030838000376,101
355030838000404,106
355030839000007,109
355030839000010,102
355030839000011,84
355030839000019,82
355030839000020,107
355030839000022,92
355030839000029,105
355030839000075,85
355030839000090,84
355030839000094,150
355030839000095,94
355030839000097,125
355030839000112,87
355030839000117,98
355030839000118,130
355030840000001,83
355030840000002,129
355030840000003,94
355030840000004,109
355030840000005,104
355030840000010,104
355030840000011,91
355030840000013,95
355030840000015,89
355030840000017,85
355030840000019,82
355030840000023,103
355030840000027,82
355030841000005,149
355030841000025,141
355030841000029,81
355030841000038,140
355030841000058,94
355030841000068,83
355030841000094,117
355030841000095,130
355030842000005,119
355030842000006,83
355030842000008,103
355030842000026,91
355030842000039,123
355030842000040,134
355030842000049,95
355030842000063,89
355030842000071,81
355030842000074,103
355030842000077,87
355030842000079,121
355030842000083,108
355030842000151,136
355030842000156,90
355030842000174,87
355030842000175,101
355030842000197,101
355030842000229,160
355030843000008,135
355030843000021,81
355030843000023,127
355030843000025,202
355030843000028,183
355030843000032,100
355030843000034,106
355030843000049,95
355030843000050,126
355030843000059,92
355030843000061,81
355030843000063,122
355030843000064,103
355030843000065,126
355030843000071,119
355030843000072,99
355030843000074,81
355030843000075,104
355030843000080,107
355030843000082,122
355030843000084,90
355030843000085,103
355030843000087,165
355030843000091,99
355030843000097,100
355030843000098,106
355030843000100,92
355030843000103,117
355030843000110,101
355030843000114,134
355030843000117,88
355030843000120,149
355030843000126,99
355030843000128,93
355030843000129,257
355030843000130,165
355030843000132,205
355030843000133,138
355030843000136,108
355030843000144,139
355030843000145,101
355030843000146,101
355030843000152,86
355030843000154,150
355030843000155,162
355030843000157,197
355030843000158,99
355030843000160,131
355030843000163,123
355030843000170,144
355030843000179,93
355030843000182,85
355030843000183,105
355030843000185,90
355030843000188,85
355030843000191,82
355030843000195,112
355030843000196,124
355030843000197,87
355030843000198,87
355030843000213,101
355030843000216,133
355030843000220,121
355030843000221,143
355030843000260,115
355030843000261,89
355030843000264,131
355030843000272,83
355030843000273,112
355030843000278,104
355030843000280,84
355030843000284,124
355030843000286,106
355030843000298,82
355030843000311,81
355030843000360,83
355030843000386,87
355030844000036,90
355030844000077,81
355030844000091,83
355030844000136,94
355030844000168,91
355030845000044,92
355030845000053,137
355030845000066,148
355030845000068,92
355030845000075,84
355030845000089,83
355030845000092,106
355030845000096,88
355030845000097,112
355030845000115,89
355030845000121,92
355030845000128,81
355030845000139,87
355030845000146,105
355030845000148,94
355030845000151,82
355030845000152,125
355030845000155,130
355030845000163,82
355030845000164,106
355030845000167,94
355030845000170,114
355030845000175,104
355030845000178,116
355030845000179,90
355030845000206,94
355030845000210,189
355030845000213,186
355030845000214,98
355030845000215,86
355030846000001,184
355030846000003,101
355030846000005,108
355030846000012,133
355030846000021,158
355030846000029,133
355030846000034,109
355030846000039,108
355030846000041,111
355030846000059,83
355030846000072,84
355030846000075,87
355030846000083,104
355030846000100,88
355030846000105,92
355030846000113,92
355030846000116,154
355030846000117,108
355030846000127,81
355030846000133,124
355030846000137,93
355030846000148,122
355030846000151,150
355030846000152,91
355030846000154,87
355030846000156,82
355030846000159,82
355030846000160,159
355030846000161,146
355030846000170,83
355030846000177,116
355030846000178,113
355030846000179,106
355030846000180,115
355030846000182,111
355030846000185,92
355030846000191,145
355030846000195,164
355030846000196,112
355030846000197,146
355030846000198,104
355030846000199,105
355030846000206,176
355030846000210,100
355030846000213,122
355030846000214,128
355030846000215,157
355030846000221,116
355030846000226,87
355030846000231,88
355030846000233,105
355030846000237,127
355030846000246,111
355030846000248,167
355030846000253,104
355030846000257,82
355030846000259,102
355030846000262,156
355030846000267,164
355030846000269,122
355030846000271,145
355030846000272,209
355030846000273,121
355030846000274,176
355030846000285,90
355030846000286,138
355030846000290,112
355030846000291,132
355030846000293,97
355030846000297,93
355030846000304,100
355030846000307,112
355030846000317,110
355030846000331,111
355030846000360,159
355030848000006,92
355030848000021,133
355030848000022,122
355030848000023,82
355030848000024,124
355030848000029,92
355030848000033,104
355030848000034,90
355030848000035,81
355030848000081,97
355030848000083,108
355030848000094,87
355030848000107,104
355030849000002,109
355030849000003,125
355030849000006,110
355030849000009,184
355030849000010,146
355030849000013,96
355030849000014,98
355030849000016,113
355030849000018,163
355030849000019,169
355030849000025,82
355030849000028,151
355030849000029,99
355030849000030,97
355030849000031,143
355030849000032,121
355030849000033,97
355030849000034,98
355030849000035,118
355030849000038,122
355030849000039,173
355030849000043,90
355030849000048,81
355030849000053,168
355030849000054,174
355030849000055,156
355030849000056,93
355030849000057,87
355030849000058,95
355030849000059,122
355030849000060,147
355030849000062,128
355030849000063,150
355030849000064,102
355030849000065,152
355030849000066,179
355030849000067,180
355030849000069,186
355030849000071,177
355030849000074,133
355030849000084,100
355030849000085,155
355030849000086,170
355030849000087,99
355030849000090,174
355030849000091,141
355030849000094,113
355030849000095,152
355030849000097,102
355030849000098,81
355030849000102,97
355030849000104,90
355030849000105,115
355030849000107,143
355030849000109,84
355030849000110,83
355030849000114,96
355030849000115,119
355030850000002,138
355030850000004,82
355030850000006,90
355030850000011,106
355030850000012,128
355030850000013,117
355030850000014,88
355030850000016,84
355030850000017,133
355030850000019,84
355030850000026,82
355030850000027,84
355030850000031,91
355030850000034,99
355030850000045,127
355030850000060,87
355030850000062,81
355030850000069,101
355030850000070,82
355030850000071,94
355030850000077,106
355030850000079,102
355030850000081,94
355030850000086,89
355030850000092,82
355030851000051,115
355030851000069,84
355030851000085,90
355030851000086,99
355030851000087,107
355030851000088,115
355030851000089,88
355030851000091,107
355030851000099,86
355030851000105,89
355030851000111,111
355030851000115,99
355030851000117,148
355030851000120,81
355030851000123,87
355030851000130,93
355030851000181,123
355030851000182,146
355030853000007,99
355030853000018,100
355030853000022,97
355030853000026,81
355030853000035,82
355030853000038,93
355030853000042,128
355030853000045,101
355030853000048,109
355030853000056,81
355030853000071,107
355030853000073,97
355030853000074,128
355030853000077,81
355030853000118,83
355030853000119,97
355030854000045,137
355030855000014,163
355030855000036,94
355030855000048,83
355030855000062,92
355030855000063,104
355030855000079,91
355030855000088,91
355030855000092,108
355030855000096,194
355030855000129,108
355030856000001,105
355030856000002,177
355030856000003,101
355030856000004,126
355030856000005,143
355030856000006,99
355030856000007,84
355030856000010,121
355030856000012,109
355030856000013,82
355030856000015,94
355030856000017,94
355030856000018,293
355030856000019,115
355030856000020,373
355030856000021,168
355030857000010,84
355030857000016,124
355030857000019,81
355030857000055,82
355030857000070,104
355030858000008,93
355030858000016,109
355030858000026,89
355030858000029,82
355030858000053,96
355030858000054,110
355030858000079,110
355030858000094,122
355030858000103,96
355030858000104,108
355030858000107,107
355030858000117,126
355030858000123,92
355030858000126,84
355030858000128,118
355030858000178,82
355030858000188,108
355030858000193,93
355030858000206,85
355030858000216,88
355030859000003,85
355030859000021,84
355030859000024,95
355030859000031,112
355030859000035,88
355030859000048,85
355030859000062,85
355030859000071,81
355030859000083,109
355030859000088,121
355030859000092,88
355030859000095,94
355030859000099,106
355030859000100,89
355030859000102,85
355030859000103,81
355030859000105,85
355030859000111,98
355030859000115,100
355030859000116,108
355030859000121,84
355030859000122,81
355030859000125,85
355030859000128,83
355030859000131,97
355030859000137,94
355030859000141,108
355030859000148,82
355030859000150,82
355030859000153,92
355030859000188,92
355030860000008,87
355030860000009,84
355030860000019,99
355030860000023,95
355030860000024,81
355030860000036,81
355030860000039,103
355030860000053,83
355030860000065,101
355030860000086,102
355030860000088,88
355030860000095,92
355030860000107,158
355030860000108,103
355030860000109,107
355030860000111,281
355030860000112,152
355030860000113,104
355030860000126,104
355030860000130,92
355030860000181,130
355030860000201,97
355030861000007,83
355030861000027,124
355030861000062,85
355030861000063,83
355030861000071,162
355030861000072,86
355030861000073,91
355030861000093,86
355030862000004,82
355030862000006,84
355030862000016,89
355030862000033,93
355030862000040,92
355030862000041,123
355030862000048,99
355030862000069,111
355030862000071,81
355030862000073,92
355030862000083,91
355030862000139,93
355030862000156,83
355030863000001,178
355030863000016,100
355030863000030,146
355030863000042,134
355030863000044,107
355030863000050,115
355030863000052,87
355030863000053,89
355030863000056,82
355030863000062,142
355030863000064,82
355030863000067,83
355030863000075,113
355030863000077,92
355030863000079,83
355030863000080,132
355030863000083,95
355030863000097,113
355030863000099,85
355030863000106,99
355030863000115,81
355030863000116,110
355030863000124,100
355030863000127,100
355030863000128,99
355030863000134,86
355030863000135,95
355030863000142,81
355030863000161,150
355030863000165,94
355030863000172,99
355030863000208,160
355030864000083,82
355030864000100,105
355030865000004,94
355030865000025,95
355030865000028,84
355030865000034,83
355030865000038,82
355030865000065,87
355030865000072,87
355030865000159,111
355030865000161,107
355030865000197,94
355030865000199,100
355030866000007,95
355030866000010,154
355030866000013,121
355030866000014,173
355030866000015,183
355030866000016,123
355030866000018,127
355030866000019,110
355030866000020,113
355030866000021,94
355030866000023,119
355030866000027,97
355030866000028,121
355030866000031,147
355030866000033,145
355030866000035,87
355030866000036,94
355030866000039,256
355030866000040,124
355030866000041,128
355030866000043,106
355030866000044,115
355030866000046,151
355030866000048,82
355030866000049,94
355030866000050,152
355030866000051,122
355030866000052,205
355030866000053,96
355030866000054,122
355030866000055,111
355030866000059,86
355030866000060,97
355030866000061,157
355030866000063,137
355030866000064,84
355030866000065,88
355030866000066,94
355030866000068,136
355030866000070,143
355030866000072,106
355030866000075,90
355030866000076,152
355030866000077,117
355030866000078,86
355030866000079,100
355030866000080,96
355030866000082,100
355030866000084,140
355030866000085,158
355030866000088,130
355030866000089,91
355030866000092,81
355030866000094,118
355030866000095,185
355030866000098,95
355030866000099,90
355030866000100,126
355030866000101,85
355030866000103,134
355030866000104,131
355030866000105,93
355030866000107,100
355030866000109,211
355030866000111,130
355030866000113,152
355030866000119,97
355030866000124,95
355030866000126,156
355030866000129,180
355030866000133,153
355030866000137,129
355030867000016,108
355030867000074,197
355030867000076,114
355030867000077,174
355030867000170,98
355030867000217,88
355030867000263,91
355030868000002,92
355030868000009,106
355030868000011,116
355030868000012,152
355030868000013,96
355030868000014,103
355030868000015,95
355030868000019,84
355030868000021,98
355030868000025,108
355030868000027,89
355030868000028,97
355030868000035,98
355030868000036,95
355030868000050,89
355030868000051,91
355030868000052,107
355030868000055,146
355030868000056,103
355030868000062,102
355030868000068,102
355030868000075,114
355030868000077,86
355030868000078,128
355030868000079,103
355030868000080,126
355030868000083,106
355030868000084,108
355030868000090,121
355030868000093,149
355030868000095,108
355030868000097,88
355030868000098,97
355030868000102,121
355030868000106,94
355030868000109,123
355030868000111,157
355030868000113,137
355030868000114,134
355030868000115,105
355030868000116,86
355030868000129,85
355030868000130,90
355030868000131,107
355030868000144,99
355030868000145,112
355030868000151,171
355030868000158,93
355030868000160,111
355030868000165,113
355030868000168,85
355030868000171,94
355030868000173,106
355030868000177,100
355030868000183,99
355030868000186,86
355030868000188,126
355030868000191,91
355030868000193,95
355030868000201,104
355030868000202,106
355030868000206,81
355030868000207,106
355030868000227,102
