id_setor_censitario,total_renda
355030802000050,2220050
355030802000051,2638288
355030802000052,1922440
355030802000053,2537788
355030802000054,3266810
355030802000055,4124876
355030802000056,3876762
355030802000057,4327642
355030802000058,7599698
355030802000059,2794644
355030802000060,6245198
355030802000061,5927556
355030802000062,3563692
355030802000063,1845498
355030802000064,3306468
355030802000065,3624776
355030802000066,1542852
355030802000067,5706888
355030802000068,3355560
355030802000069,3894902
355030802000070,3593524
355030802000071,2159358
355030802000072,3902944
355030802000073,5807240
355030802000074,4844370
355030802000075,4927820
355030802000076,5587134
355030802000077,2213118
355030802000078,1266064
355030802000079,936644
355030803000001,1003956
355030803000002,642592
355030803000003,754940
355030803000004,852156
355030803000005,1606500
355030803000006,937038
355030803000007,2064262
355030803000008,1055150
355030803000009,1018632
355030803000010,1889130
355030803000011,1685204
355030803000012,1204542
355030803000013,1052544
355030803000014,1351626
355030803000015,1214114
355030803000016,772036
355030803000017,1796740
355030803000018,1558222
355030803000019,157672
355030803000020,557468
355030803000021,611484
355030803000022,621724
355030803000023,800808
355030803000024,1086352
355030803000025,1876650
355030803000026,1695764
355030803000027,207420
355030803000028,496142
355030803000029,249382
355030803000030,1702112
355030803000031,689178
355030803000032,972904
355030803000033,899378
355030803000035,839334
355030803000036,1792274
355030803000037,1117586
355030803000038,1511394
355030803000039,941774
355030803000040,1040638
355030803000041,1117510
355030803000042,349788
355030803000045,76250
355030803000046,76650
355030803000047,270220
355030803000048,291516
355030803000049,46640
355030803000050,39562
355030803000051,298488
355030803000052,490026
355030803000053,674004
355030803000054,834318
355030803000055,1734302
355030803000056,105998
355030803000057,859500
355030803000058,230828
355030803000059,167966
355030803000060,301694
355030803000061,1080578
355030803000066,23260
355030803000067,236540
355030803000070,46950
355030803000073,231080
355030803000074,109100
355030803000076,1431714
355030803000077,1846724
355030803000078,229302
355030803000079,1510408
355030803000080,481376
355030803000082,92460
355030803000083,236644
355030803000084,91880
355030803000086,73634
355030803000087,40700
355030803000088,25540
355030803000089,17838
355030803000090,50198
355030803000091,387320
355030803000094,1009760
355030803000095,92400
355030803000096,238870
355030803000097,29540
355030803000100,36480
355030803000101,1318624
355030803000102,480870
355030803000103,71920
355030803000104,25716
355030803000105,970854
355030803000107,64960
355030803000111,811378
355030803000112,221050
355030803000113,223050
355030803000114,2162118
355030803000115,748178
355030803000116,234694
355030803000117,294428
355030803000118,165936
355030803000119,563772
355030803000120,281744
355030803000121,955120
355030804000001,650560
355030804000002,788520
355030804000003,908074
355030804000004,688298
355030804000005,1824510
355030804000006,232520
355030804000007,951102
355030804000008,1077116
355030804000009,340700
355030804000010,591836
355030804000011,1232430
355030804000012,1341274
355030804000013,1557550
355030804000014,1724704
355030804000015,1273920
355030804000016,1005240
355030804000017,706140
355030804000018,848650
355030804000019,704202
355030804000020,1110406
355030804000021,1643482
355030804000022,2444584
355030804000023,1834072
355030804000024,1349838
355030804000025,3249730
355030804000026,1524222
355030804000027,1763684
355030804000028,2436400
355030804000029,1341910
355030804000030,1712106
355030804000031,1301418
355030804000032,804486
355030804000033,843914
355030804000034,880498
355030804000035,1586354
355030804000036,894048
355030804000037,603924
355030804000038,902486
355030804000039,1205900
355030804000040,655560
355030804000041,2326512
355030804000042,2109228
355030804000043,1083596
355030804000044,771880
355030804000045,1084022
355030804000046,1197628
355030804000047,727046
355030804000048,1055376
355030804000049,1096620
355030804000050,1596980
355030804000051,1535086
355030804000052,1746884
355030804000053,357220
355030804000054,1209114
355030804000055,902244
355030804000056,609240
355030804000057,913312
355030804000059,979534
355030804000060,1050458
355030804000061,481760
355030804000062,7135310
355030804000063,1674138
355030804000064,2016902
355030804000065,623980
355030804000066,1072780
355030804000067,930780
355030804000068,1054834
355030804000069,1122554
355030804000070,1678928
355030804000071,1711818
355030804000072,587900
355030804000073,608212
355030804000074,543880
355030804000075,795256
355030804000076,816254
355030804000077,1283070
355030804000078,1406266
355030804000079,864206
355030804000080,898478
355030804000081,822746
355030804000082,1259778
355030804000083,640250
355030804000084,1270208
355030804000085,1283524
355030804000086,2518190
355030804000087,512530
355030804000088,1292914
355030804000089,616634
355030804000090,964418
355030804000091,908486
355030804000092,973530
355030804000093,662274
355030804000094,468664
355030804000095,856572
355030804000096,831466
355030804000097,958956
355030804000098,819218
355030804000099,1133544
355030804000100,874052
355030804000101,1020078
355030804000102,999362
355030804000103,1182672
355030804000104,1363354
355030804000105,522748
355030804000106,1231548
355030804000107,1102714
355030804000108,1074204
355030804000109,286460
355030804000110,893966
355030804000111,1945176
355030804000112,1843348
355030804000113,1443406
355030804000114,910480
355030804000115,530338
355030804000116,652120
355030804000117,784884
355030804000118,1257848
355030804000119,624066
355030804000120,831472
355030804000121,258108
355030804000122,1077112
355030804000123,797804
355030804000124,1846498
355030804000125,53240
355030805000001,1296220
355030805000002,987270
355030805000003,764086
355030805000004,361140
355030805000005,689086
355030805000006,1536488
355030805000007,1617380
355030805000008,790118
355030805000009,350344
355030805000010,416212
355030805000011,778262
355030805000012,646880
355030805000013,498654
355030805000014,866122
355030805000015,1237808
355030805000016,840358
355030805000017,733042
355030805000018,1477300
355030805000019,1363880
355030805000020,1084854
355030805000021,817786
355030805000022,1530466
355030805000023,1301556
355030805000024,1046160
355030805000025,747392
355030805000026,1271614
355030805000027,1589750
355030805000028,1217732
355030805000029,1225190
355030805000030,1319182
355030805000031,767850
355030805000032,1129024
355030805000033,1132986
355030805000034,1327538
355030805000035,1308410
355030805000036,967934
355030805000037,817600
355030805000038,867200
355030805000039,908060
355030805000040,959126
355030805000041,428362
355030805000042,662750
355030805000043,1143946
355030805000044,927156
355030805000045,913498
355030805000046,990446
355030805000047,889734
355030805000048,706918
355030805000049,997268
355030805000050,703232
355030805000051,1917202
355030805000052,1132224
355030805000053,806874
355030805000054,940674
355030805000055,983242
355030805000056,1168830
355030805000057,1157374
355030805000058,1266082
355030805000059,357000
355030805000060,1079902
355030805000061,1193362
355030805000062,1179006
355030805000063,1982236
355030805000064,894296
355030805000065,931240
355030805000066,844206
355030805000067,638080
355030805000068,867132
355030805000069,1363036
355030805000070,1176204
355030805000071,121240
355030805000072,1350458
355030805000073,1179100
355030805000074,1414492
355030805000075,1914168
355030805000076,1391050
355030805000077,1127238
355030805000078,1159668
355030805000079,1085892
355030805000080,746750
355030805000081,1316470
355030805000082,669310
355030805000083,1065914
355030805000084,1297192
355030805000085,1279090
355030805000086,1366626
355030805000087,656306
355030805000088,1204892
355030805000089,1604776
355030805000090,706152
355030805000091,1164734
355030805000092,1571966
355030805000093,1252192
355030805000094,1233732
355030805000095,1601968
355030805000096,836116
