id_setor_censitario,pessoas_5anos_mais_alfab
355030806000013,552
355030806000014,382
355030806000015,1163
355030806000016,338
355030806000017,221
355030806000018,391
355030806000019,589
355030806000020,533
355030806000021,505
355030806000022,491
355030806000023,357
355030806000024,703
355030806000025,379
355030806000026,280
355030806000027,234
355030806000028,681
355030806000029,278
355030806000030,166
355030806000035,2
355030806000037,70
355030807000001,632
355030807000002,666
355030807000003,543
355030807000004,467
355030807000005,421
355030807000006,428
355030807000007,494
355030807000008,672
355030807000009,589
355030807000010,501
355030807000011,651
355030807000012,479
355030807000013,333
355030807000014,482
355030807000015,507
355030807000016,508
355030807000017,596
355030807000018,691
355030807000019,462
355030807000020,610
355030807000021,406
355030807000022,466
355030807000023,169
355030807000024,490
355030807000025,383
355030807000026,616
355030807000027,562
355030807000028,382
355030807000029,86
355030807000030,319
355030807000031,476
355030807000032,360
355030807000033,528
355030807000034,411
355030807000035,425
355030807000036,421
355030807000037,677
355030807000038,330
355030807000039,468
355030807000040,412
355030807000041,451
355030807000042,442
355030807000043,545
355030807000044,583
355030807000045,121
355030807000046,248
355030807000047,534
355030807000048,581
355030807000049,480
355030807000050,530
355030807000051,442
355030807000052,1042
355030807000053,224
355030807000054,882
355030807000055,524
355030807000056,234
355030807000057,675
355030807000058,472
355030807000059,642
355030807000060,205
355030807000061,201
355030807000062,464
355030807000063,418
355030807000064,452
355030807000065,389
355030807000066,757
355030807000067,626
355030807000068,510
355030807000069,204
355030807000070,469
355030807000071,535
355030807000072,434
355030807000073,376
355030807000074,509
355030807000075,428
355030807000076,391
355030807000077,375
355030807000078,525
355030807000079,633
355030807000080,450
355030807000081,23
355030807000082,295
355030807000083,421
355030807000084,297
355030807000085,146
355030807000086,456
355030807000087,457
355030807000088,328
355030807000089,627
355030807000090,676
355030807000091,667
355030807000092,498
355030807000093,522
355030807000094,596
355030807000095,678
355030807000096,218
355030807000097,45
355030807000098,394
355030807000099,1210
355030807000100,200
355030807000101,646
355030807000102,416
355030807000103,358
355030807000104,729
355030807000105,683
355030807000106,776
355030807000107,547
355030807000108,735
355030807000109,304
355030807000110,297
355030807000111,837
355030807000112,263
355030807000113,377
355030807000114,653
355030807000115,438
355030807000116,274
355030807000117,310
355030807000118,566
355030807000119,611
355030807000120,415
355030807000121,498
355030807000123,596
355030807000124,576
355030807000125,368
355030807000126,224
355030807000127,270
355030807000128,581
355030807000129,495
355030807000130,359
355030807000131,672
355030807000132,329
355030807000133,119
355030807000134,415
355030807000135,608
355030807000136,218
355030807000137,507
355030807000138,492
355030807000139,251
355030807000140,278
355030807000141,95
355030807000142,151
355030807000143,119
355030808000001,587
355030808000002,359
355030808000003,687
355030808000004,811
355030808000005,652
355030808000006,587
355030808000007,270
355030808000008,1738
355030808000009,776
355030808000010,505
355030808000011,804
355030808000012,634
355030808000013,263
355030808000014,490
355030808000015,298
355030808000016,470
355030808000017,870
355030808000018,774
355030808000019,339
355030808000020,655
355030808000021,655
355030808000022,277
355030808000023,855
355030808000024,563
355030808000025,676
355030808000026,812
355030808000027,585
355030808000028,506
355030808000029,701
355030808000030,683
355030808000031,700
355030808000032,382
355030808000033,792
355030808000034,759
355030808000035,651
355030808000036,373
355030808000037,631
355030808000038,439
355030808000039,534
355030808000040,757
355030808000041,377
355030808000042,771
355030808000043,315
355030808000044,886
355030808000045,536
355030808000046,457
355030808000047,505
355030808000048,459
355030808000049,712
355030808000050,440
355030808000051,190
355030808000052,558
355030808000053,430
355030808000054,290
355030808000055,505
355030808000056,173
355030808000057,265
355030808000058,451
355030808000059,325
355030808000060,425
355030808000061,572
355030808000062,343
355030808000063,443
355030808000064,493
355030808000065,743
355030808000066,426
355030808000067,336
355030808000068,372
355030808000069,409
355030808000070,312
355030808000071,294
355030808000072,201
355030808000073,197
355030808000075,461
355030808000076,401
355030808000077,522
355030808000078,333
355030808000079,434
355030809000001,514
355030809000002,551
355030809000003,883
355030809000004,928
355030809000005,507
355030809000006,531
355030809000007,364
355030809000008,435
355030809000009,792
